query_id,query,predicted_code,predicted_label,gold_codes,graph_relationship,graph_matched_gold_code,graph_shared_parent_code,graph_prediction_found,graph_gold_found,note
70,Immunodeficiency with predominantly antibody defects,ORDO:331244,Other immunodeficiency syndrome with predominantly antibody defects,Orphanet:331244,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
71,Congenital malformations of oesophagus,HP:0002031,Abnormal esophagus morphology,Orphanet:88993,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
72,Syndactyly,MONDO:0021002,syndactyly,Orphanet:90025,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
73,Other congenital malformations of intestine,EFO:0700116,digestive tract malformation,Orphanet:97945,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
74,Other disorders of peripheral nervous system,EFO:0009387,peripheral nervous system disease,EFO:0009387,Same,EFO:0009387,,True,True,
75,Spondylosis,MONDO:0002253,spondylosis,EFO:0000706,Unrelated,,,True,True,
76,Other retinal disorders,EFO:0003839,retinopathy,EFO:0003839,Same,EFO:0003839,,True,True,
77,Arterial embolism and thrombosis,HP:0001907,Thromboembolism,EFO:0004286,Unrelated,,,True,True,
78,Juvenile osteochondrosis of hip and pelvis,MONDO:0007885,Legg-Calve-Perthes disease,Orphanet:2380,Unrelated,,,True,False,"graph_prediction_found=True, graph_gold_found=False: at least one side is absent from the EFO v3.62.0 hierarchy tables. The reference comparator still classifies this as 'Unrelated' (empty parent/ancestor/descendant sets never match), so that result is preserved here -- this note flags it as an untestable pair rather than a confirmed topological distance."
79,Encephalitis myelitis and encephalomyelitis,EFO:0001423,encephalomyelitis,EFO:0007364,More General,EFO:0007364,,True,True,
80,Atrial fibrillation and flutter,,,EFO:0000275,Not Applicable,,,,,No prediction and/or no gold codes to compare.
81,Dermatopolymyositis,MONDO:0600023,idiopathic inflammatory myopathy,EFO:0000398,More General,EFO:0000398,,True,True,
82,Lack of food,EFO:0022074,starvation,EFO:0008572,Unrelated,,,True,True,
83,Inflammatory diseases of prostate,EFO:0003830,prostatitis,EFO:0003830,Same,EFO:0003830,,True,True,
84,Chronic renal failure,EFO:0003884,chronic kidney disease,EFO:0003884,Same,EFO:0003884,,True,True,
85,Postpolio syndrome,EFO:0007454,postpoliomyelitis syndrome,EFO:0007454,Same,EFO:0007454,,True,True,
86,Atopic dermatitis,EFO:0000274,atopic eczema,EFO:0000274,Same,EFO:0000274,,True,True,
87,Cardiomyopathy,EFO:0000318,cardiomyopathy,EFO:0000318,Same,EFO:0000318,,True,True,
88,other disorders of circulatory system,EFO:0000319,cardiovascular disease,EFO:0000319,Same,EFO:0000319,,True,True,
89,Crohn s disease,EFO:0000384,Crohn's disease,EFO:0000384,Same,EFO:0000384,,True,True,
90,Unspecified diabetes mellitus,EFO:0000400,diabetes mellitus,EFO:0000400,Same,EFO:0000400,,True,True,
91,Other specified diabetes mellitus,EFO:0000400,diabetes mellitus,EFO:0000400,Same,EFO:0000400,,True,True,
92,Epilepsy,EFO:0000474,epilepsy,EFO:0000474,Same,EFO:0000474,,True,True,
93,Glaucoma,MONDO:0005041,glaucoma,EFO:0000516,Unrelated,,,True,True,
94,Irritable bowel syndrome,EFO:0000555,irritable bowel syndrome,EFO:0000555,Same,EFO:0000555,,True,True,
95,Schizophrenia,MONDO:0005090,schizophrenia,EFO:0000692,Unrelated,,,True,True,
96,Ulcerative colitis,EFO:0000729,ulcerative colitis,EFO:0000729,Same,EFO:0000729,,True,True,
97,Viral infection of unspecified site,EFO:0000763,viral disease,EFO:0000763,Same,EFO:0000763,,True,True,
98,Myositis,MONDO:0600023,idiopathic inflammatory myopathy,EFO:0000783,More Specific,EFO:0000783,,True,True,
99,Other cataract,MONDO:0005129,cataract,EFO:0001059,Unrelated,,,True,True,
100,Cytomegaloviral disease,EFO:0001062,cytomegalovirus infection,EFO:0001062,Same,EFO:0001062,,True,True,
101,Endometriosis,EFO:0001065,endometriosis,EFO:0001065,Same,EFO:0001065,,True,True,
102,Obesity,EFO:0001073,obesity,EFO:0001073,Same,EFO:0001073,,True,True,
103,Insulin dependent diabetes mellitus,MONDO:0005147,type 1 diabetes mellitus,EFO:0001359,Unrelated,,,True,True,
104,Non insulin dependent diabetes mellitus,MONDO:0005148,type 2 diabetes mellitus,EFO:0001360,Unrelated,,,True,True,
105,Parkinson s disease,MONDO:0005180,Parkinson disease,EFO:0002508,Unrelated,,,True,True,
106,Juvenile arthritis,EFO:0002609,juvenile idiopathic arthritis,EFO:0002609,Same,EFO:0002609,,True,True,
107,Cellulitis,EFO:0003035,cellulitis,EFO:0003035,Same,EFO:0003035,,True,True,
108,Cushing s syndrome,EFO:0003099,Cushing syndrome,EFO:0003099,Same,EFO:0003099,,True,True,
109,Osteomyelitis,EFO:0003102,osteomyelitis,EFO:0003102,Same,EFO:0003102,,True,True,
110,Spina bifida,EFO:0003105,spina bifida,EFO:0003105,Same,EFO:0003105,,True,True,
111,Heart failure,EFO:0003144,heart failure,EFO:0003144,Same,EFO:0003144,,True,True,
112,Vitamin D deficiency,EFO:0003762,vitamin D deficiency,EFO:0003762,Same,EFO:0003762,,True,True,
113,Dental caries,EFO:0003819,dental caries,EFO:0003819,Same,EFO:0003819,,True,True,
114,Migraine,MONDO:0005277,migraine disorder,EFO:0003821,Unrelated,,,True,True,
115,Pulmonary embolism,EFO:0003827,pulmonary embolism,EFO:0003827,Same,EFO:0003827,,True,True,
116,Other peripheral vascular diseases,EFO:0003875,peripheral vascular disease,EFO:0003875,Same,EFO:0003875,,True,True,
117,Multiple sclerosis,MONDO:0005301,multiple sclerosis,EFO:0003885,Unrelated,,,True,True,
118,Acne,EFO:0003894,acne,EFO:0003894,Same,EFO:0003894,,True,True,
119,Ankylosing spondylitis,EFO:0003898,ankylosing spondylitis,EFO:0003898,Same,EFO:0003898,,True,True,
120,Angina pectoris,EFO:0003913,angina pectoris,EFO:0003913,Same,EFO:0003913,,True,True,
121,Atherosclerosis,EFO:0003914,atherosclerosis,EFO:0003914,Same,EFO:0003914,,True,True,
122,Gastro oesophageal reflux disease,EFO:0003948,gastroesophageal reflux disease,EFO:0003948,Same,EFO:0003948,,True,True,
123,Sunburn,EFO:0003958,sunburn,EFO:0003958,Same,EFO:0003958,,True,True,
124,Cleft lip,EFO:0003959,cleft lip,EFO:0003959,Same,EFO:0003959,,True,True,
125,Androgenic alopecia,EFO:0004191,androgenetic alopecia,EFO:0004191,Same,EFO:0004191,,True,True,
126,Alopecia areata,EFO:0004192,alopecia areata,EFO:0004192,Same,EFO:0004192,,True,True,
127,Vitiligo,EFO:0004208,Vitiligo,EFO:0004208,Same,EFO:0004208,,True,True,
128,Hypospadias,EFO:0004209,hypospadias,EFO:0004209,Same,EFO:0004209,,True,True,
129,Otosclerosis,EFO:0004213,otosclerosis,EFO:0004213,Same,EFO:0004213,,True,True,
130,Conduct disorders,EFO:0004216,conduct disorder,EFO:0004216,Same,EFO:0004216,,True,True,
131,Male infertility,EFO:0004248,male infertility,EFO:0004248,Same,EFO:0004248,,True,True,
132,Meningococcal infection,EFO:0004249,meningococcal infection,EFO:0004249,Same,EFO:0004249,,True,True,
133,Calculus of kidney and ureter,MONDO:0024647,urolithiasis,EFO:0004253,More General,EFO:0004253,,True,True,
134,Nephrotic syndrome,EFO:0004255,nephrotic syndrome,EFO:0004255,Same,EFO:0004255,,True,True,
135,Osteonecrosis,EFO:0004259,osteonecrosis,EFO:0004259,Same,EFO:0004259,,True,True,
136,Paget s disease of bone,EFO:0004261,osteitis deformans,EFO:0004261,Same,EFO:0004261,,True,True,
137,Other anaemias,MONDO:0002280,anemia,EFO:0004272,Unrelated,,,True,True,
138,Gout,EFO:0004274,gout,EFO:0004274,Same,EFO:0004274,,True,True,
139,Diabetes mellitus in pregnancy,EFO:0004593,gestational diabetes,EFO:0004593,Same,EFO:0004593,,True,True,
140,Duodenal ulcer,EFO:0004607,duodenal ulcer,EFO:0004607,Same,EFO:0004607,,True,True,
141,Cholelithiasis,EFO:0004799,cholelithiasis,EFO:0004799,Same,EFO:0004799,,True,True,
142,Leishmaniasis,EFO:0005044,Leishmaniasis,EFO:0005044,Same,EFO:0005044,,True,True,
143,Eating disorders,EFO:0005203,eating disorder,EFO:0005203,Same,EFO:0005203,,True,True,
144,Hypotension,EFO:0005251,hypotension,EFO:0005251,Same,EFO:0005251,,True,True,
145,Unspecified contact dermatitis,EFO:0005319,contact dermatitis,EFO:0005319,Same,EFO:0005319,,True,True,
146,Schizoaffective disorders,EFO:0005411,schizoaffective disorder,EFO:0005411,Same,EFO:0005411,,True,True,
147,Urticaria,EFO:0005531,urticaria,EFO:0005531,Same,EFO:0005531,,True,True,
148,Seborrhoeic keratosis,EFO:0005584,seborrheic keratosis,EFO:0005584,Same,EFO:0005584,,True,True,
149,Shigellosis,EFO:0005585,shigellosis,EFO:0005585,Same,EFO:0005585,,True,True,
150,Other vitamin deficiencies,EFO:0005878,vitamin deficiency,EFO:0005878,Same,EFO:0005878,,True,True,
151,Zoster,EFO:0006510,Herpes Zoster,EFO:0006510,Same,EFO:0006510,,True,True,
152,Pyoderma gangrenosum,EFO:0006835,pyoderma gangrenosum,EFO:0006835,Same,EFO:0006835,,True,True,
153,Decubitus ulcer,EFO:0007067,decubitus ulcer,EFO:0007067,Same,EFO:0007067,,True,True,
154,Actinomycosis,EFO:0007128,actinomycosis,EFO:0007128,Same,EFO:0007128,,True,True,
155,Amoebiasis,EFO:0007144,amebiasis,EFO:0007144,Same,EFO:0007144,,True,True,
156,Unspecified appendicitis,EFO:0007149,appendicitis,EFO:0007149,Same,EFO:0007149,,True,True,
157,Ascariasis,EFO:0007154,ascariasis,EFO:0007154,Same,EFO:0007154,,True,True,
158,Aspergillosis,EFO:0007157,aspergillosis,EFO:0007157,Same,EFO:0007157,,True,True,
159,Varicella,EFO:0007204,chickenpox,EFO:0007204,Same,EFO:0007204,,True,True,
160,Cryptococcosis,EFO:0007229,cryptococcosis,EFO:0007229,Same,EFO:0007229,,True,True,
161,Echinococcosis,EFO:0007245,echinococcosis,EFO:0007245,Same,EFO:0007245,,True,True,
162,Enterobiasis,EFO:0007254,enterobiasis,EFO:0007254,Same,EFO:0007254,,True,True,
163,Granuloma inguinale,EFO:0007291,granuloma inguinale,EFO:0007291,Same,EFO:0007291,,True,True,
164,Histoplasmosis,EFO:0007310,histoplasmosis,EFO:0007310,Same,EFO:0007310,,True,True,
165,Infectious mononucleosis,EFO:0007326,infectious mononucleosis,EFO:0007326,Same,EFO:0007326,,True,True,
166,Leptospirosis,EFO:0007344,leptospirosis,EFO:0007344,Same,EFO:0007344,,True,True,
167,Listeriosis,EFO:0007347,listeriosis,EFO:0007347,Same,EFO:0007347,,True,True,
168,Miliary tuberculosis,EFO:0007368,miliary tuberculosis,EFO:0007368,Same,EFO:0007368,,True,True,
169,Myiasis,EFO:0007389,myiasis,EFO:0007389,Same,EFO:0007389,,True,True,
170,Optic neuritis,EFO:0007405,optic neuritis,EFO:0007405,Same,EFO:0007405,,True,True,
171,Placenta praevia,EFO:0007442,placenta praevia,EFO:0007442,Same,EFO:0007442,,True,True,
172,Plasmodium falciparum malaria,EFO:0007444,Plasmodium falciparum malaria,EFO:0007444,Same,EFO:0007444,,True,True,
173,Plasmodium vivax malaria,EFO:0007445,Plasmodium vivax malaria,EFO:0007445,Same,EFO:0007445,,True,True,
174,Acute poliomyelitis,EFO:0007450,poliomyelitis,EFO:0007450,Same,EFO:0007450,,True,True,
175,Scarlet fever,EFO:0007477,scarlet fever,EFO:0007477,Same,EFO:0007477,,True,True,
176,Strongyloidiasis,EFO:0007501,strongyloidiasis,EFO:0007501,Same,EFO:0007501,,True,True,
177,Suppurative and unspecified otitis media,EFO:0007503,suppurative otitis media,EFO:0007503,Same,EFO:0007503,,True,True,
178,other syphilis,EFO:0007504,syphilis,EFO:0007504,Same,EFO:0007504,,True,True,
179,Toxoplasmosis,EFO:0007517,toxoplasmosis,EFO:0007517,Same,EFO:0007517,,True,True,
180,Yaws,EFO:0007548,yaws,EFO:0007548,Same,EFO:0007548,,True,True,
181,Status epilepticus,EFO:0008526,status epilepticus,EFO:0008526,Same,EFO:0008526,,True,True,
182,Fracture of femur,EFO:0008553,femur fracture,EFO:0008553,Same,EFO:0008553,,True,True,
183,Diaphragmatic hernia,EFO:0008561,diaphragmatic hernia,EFO:0008561,Same,EFO:0008561,,True,True,
184,Niacin deficiency,EFO:0008570,Vitamin B3 deficiency,EFO:0008570,Same,EFO:0008570,,True,True,
185,Gangrene,EFO:0008574,gangrene,EFO:0008574,Same,EFO:0008574,,True,True,
186,Acute myocardial infarction,EFO:0008583,acute myocardial infarction,EFO:0008583,Same,EFO:0008583,,True,True,
187,Subsequent myocardial infarction,EFO:0008584,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,EFO:0008584,Same,EFO:0008584,,True,True,
188,Peritonitis,EFO:0008588,peritonitis,EFO:0008588,Same,EFO:0008588,,True,True,
189,Diseases of spleen,EFO:0009002,splenic disease,EFO:0009002,Same,EFO:0009002,,True,True,
190,Typhus fever,EFO:0009117,typhus,EFO:0009117,Same,EFO:0009117,,True,True,
191,Other diseases of intestine,EFO:0009431,intestinal disease,EFO:0009431,Same,EFO:0009431,,True,True,
192,Fibroblastic disorders,EFO:0009432,fibroblastic disorder,EFO:0009432,Same,EFO:0009432,,True,True,
193,Unspecified acute lower respiratory infection,MONDO:0024355,respiratory tract infectious disorder,EFO:0009433,Sibling,EFO:0009433,EFO:0000684,True,True,
194,Other ill defined and unspecified causes of mortality,EFO:0030051,death from other causes,EFO:0009434,Unrelated,,,True,True,
195,Cystitis,EFO:1000025,cystitis,EFO:1000025,Same,EFO:1000025,,True,True,
196,Lactose intolerance,EFO:1000062,lactose intolerance,EFO:1000062,Same,EFO:1000062,,True,True,
197,Thyroiditis,MONDO:0004126,thyroiditis,EFO:1000627,More Specific,EFO:1000627,,True,True,
198,Acute pancreatitis,EFO:1000652,acute pancreatitis,EFO:1000652,Same,EFO:1000652,,True,True,
199,Acanthosis nigricans,EFO:1000660,acanthosis nigricans,EFO:1000660,Same,EFO:1000660,,True,True,
200,Allergic contact dermatitis,EFO:1000668,allergic contact dermatitis,EFO:1000668,Same,EFO:1000668,,True,True,
201,Cholesteatoma of middle ear,EFO:1000678,cholesteatoma of middle ear,EFO:1000678,Same,EFO:1000678,,True,True,
202,Erythema multiforme,EFO:1000694,erythema multiforme,EFO:1000694,Same,EFO:1000694,,True,True,
203,Hyperhidrosis,HP:0000975,Hyperhidrosis,EFO:1000712,Unrelated,,,True,True,
204,Impetigo,EFO:1000714,impetigo,EFO:1000714,Same,EFO:1000714,,True,True,
205,Irritant contact dermatitis,EFO:1000718,irritant dermatitis,EFO:1000718,Same,EFO:1000718,,True,True,
206,Lichen planus,EFO:1000726,lichen planus,EFO:1000726,Same,EFO:1000726,,True,True,
207,Parapsoriasis,EFO:1000747,parapsoriasis,EFO:1000747,Same,EFO:1000747,,True,True,
208,Pemphigus,EFO:1000749,pemphigus,EFO:1000749,Same,EFO:1000749,,True,True,
209,Pityriasis rosea,EFO:1000756,pityriasis rosea,EFO:1000756,Same,EFO:1000756,,True,True,
210,Rosacea,EFO:1000760,rosacea,EFO:1000760,Same,EFO:1000760,,True,True,
211,Seborrhoeic dermatitis,EFO:1000764,seborrheic dermatitis,EFO:1000764,Same,EFO:1000764,,True,True,
212,Atrophic disorders of skin,EFO:1000766,skin atrophy,EFO:1000766,Same,EFO:1000766,,True,True,
213,Coxarthrosis,EFO:1000786,"osteoarthritis, hip",EFO:1000786,Same,EFO:1000786,,True,True,
214,Coalworker s pneumoconiosis,EFO:1000814,anthracosis,EFO:1000814,Same,EFO:1000814,,True,True,
215,Ascorbic acid deficiency,EFO:1000822,ascorbic acid deficiency,EFO:1000822,Same,EFO:1000822,,True,True,
216,Bacterial meningitis,EFO:1000831,bacterial meningitis,EFO:1000831,Same,EFO:1000831,,True,True,
217,Dysplasia of cervix uteri,EFO:1000910,dysplasia of cervix,EFO:1000910,Same,EFO:1000910,,True,True,
218,Habitual aborter,EFO:1000954,habitual abortion,EFO:1000954,Same,EFO:1000954,,True,True,
219,Other rickettsioses,EFO:1001162,rickettsiosis,EFO:1001162,Same,EFO:1001162,,True,True,
220,Secondary parkinsonism,EFO:1001175,secondary Parkinson disease,EFO:1001175,Same,EFO:1001175,,True,True,
221,Viral meningitis,EFO:1001236,viral meningitis,EFO:1001236,Same,EFO:1001236,,True,True,
222,Vitamin A deficiency,EFO:1001237,vitamin A deficiency,EFO:1001237,Same,EFO:1001237,,True,True,
223,Spontaneous abortion,EFO:1001255,spontaneous abortion,EFO:1001255,Same,EFO:1001255,,True,True,
224,Unspecified renal colic,EFO:1001412,renal colic,EFO:1001412,Same,EFO:1001412,,True,True,
225,Taeniasis,EFO:1001433,Taeniasis,EFO:1001433,Same,EFO:1001433,,True,True,
226,Synovitis and tenosynovitis,EFO:1001435,tenosynovitis,EFO:1001435,Same,EFO:1001435,,True,True,
227,Schistosomiasis,EFO:1001475,schistosomiasis,EFO:1001475,Same,EFO:1001475,,True,True,
228,Unspecified abortion,EFO:1001491,abortion,EFO:1001491,Same,EFO:1001491,,True,True,
229,Femoral hernia,EFO:1001791,femoral hernia,EFO:1001791,Same,EFO:1001791,,True,True,
230,Ventral hernia,EFO:1001866,ventral hernia,EFO:1001866,Same,EFO:1001866,,True,True,
231,Amyloidosis,EFO:1001875,amyloidosis,EFO:1001875,Same,EFO:1001875,,True,True,
232,Cicatricial alopecia,EFO:1002028,cicatricial alopecia,EFO:1002028,Same,EFO:1002028,,True,True,
233,Other disorders of nervous system,EFO:0000618,nervous system disease,EFO:0000618,Same,EFO:0000618,,True,True,
234,Polyuria,HP:0000103,Polyuria,HP:0000103,Same,HP:0000103,,True,True,
235,Pruritus,HP:0000989,Pruritus,HP:0000989,Same,HP:0000989,,True,True,
236,Nausea and vomiting,HP:0002017,Nausea and vomiting,HP:0002017,Same,HP:0002017,,True,True,
237,Peptic ulcer site unspecified,MONDO:0004247,peptic ulcer disease,HP:0004398,Unrelated,,,True,True,
238,Erythema nodosum,HP:0012219,Erythema nodosum,HP:0012219,Same,HP:0012219,,True,True,
239,Oesophagitis,MONDO:0001409,esophagitis,HP:0100633,Sibling,HP:0100633,EFO:0009544,True,True,
