benchmark,side,source,gold,reason
OLS-EFO (full),t2t,mixed cell type cancer,EFO:0007373,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,embryonic stage,EFO:0007725,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,chronic interstitial cystitis,EFO:0008507,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,primary hyperparathyroidism,EFO:0008519,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,bullous skin disease,EFO:0008598,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,gastric outlet obstruction,EFO:0009626,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,enthesitis-related juvenile idiopathic arthritis,EFO:0009732,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,"CAUCHETEUR, Déborah",EFO:0010716,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,"Baudis, Michael",EFO:0010937,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,"Nejad, Parisa",EFO:0010945,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Blood group,EFO:0600058,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Birt-Hogg-Dube syndrome,EFO:0700020,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,multiple sclerosis,EFO:0803536,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Askin Tumor,EFO:1000095,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,well-differentiated liposarcoma,EFO:1000099,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Central Nervous System Neoplasm,EFO:1000158,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Endometrial Endometrioid Adenocarcinoma,EFO:1000233,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Myofibroma,EFO:1000389,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,peritoneal mesothelioma,EFO:1000467,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,photoallergic dermatitis,EFO:1000751,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,obsolete ascorbic acid deficiency,EFO:1000822,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Klatskin's tumor,EFO:1001005,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,scleroderma,EFO:1001361,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,endometrial carcinoma,EFO:1001512,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,Klatskin's tumor,EFO:1001959,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,scleroderma,EFO:1001993,no exact identity match in our single-gold subset
OLS-EFO (full),t2t,gastritis,EFO:0000217,ambiguous duplicate on t2t side
OLS-EFO (full),t2t,gastritis,EFO:0000217,ambiguous duplicate on t2t side
OLS-EFO (full),t2t,angiomyoma,EFO:1000084,ambiguous duplicate on t2t side
OLS-EFO (full),t2t,angiomyoma,EFO:1000084,ambiguous duplicate on t2t side
OLS-EFO (full),t2t,subependymal glioma,EFO:1000553,ambiguous duplicate on t2t side
OLS-EFO (full),t2t,subependymal glioma,EFO:1000553,ambiguous duplicate on t2t side
